title,author,abstractstract,main_subject,other_subjects,submission_date
Improving Machine Hearing on Limited Data Sets,"Pavol Harar, Roswitha Bammer, Anna Breger, Monika Dörfler, Zdenek Smekal","Convolutional neural network (CNN) architectures have originated and
revolutionized machine learning for images. In order to take advantage of CNNs
in predictive modeling with audio data, standard FFT-based signal processing
methods are often applied to convert the raw audio waveforms into an image-like
representations (e.g. spectrograms). Even though conventional images and
spectrograms differ in their feature properties, this kind of pre-processing
reduces the amount of training data necessary for successful training. In this
contribution we investigate how input and target representations interplay with
the amount of available training data in a music information retrieval setting.
We compare the standard mel-spectrogram inputs with a newly proposed
representation, called Mel scattering. Furthermore, we investigate the impact
of additional target data representations by using an augmented target loss
function which incorporates unused available information. We observe that all
proposed methods outperform the standard mel-transform representation when
using a limited data set and discuss their strengths and limitations. The
source code for reproducibility of our experiments as well as intermediate
results and model checkpoints are available in an online repository.",Sound (cs.SD),; Machine Learning (cs.LG); Audio and Speech Processing (eess.AS); Signal Processing (eess.SP); Machine Learning (stat.ML),"[Submitted on 21 Mar 2019 (v1), last revised 12 Jul 2019 (this version, v3)]"
Learning Multi-Level Information for Dialogue Response Selection by Highway Recurrent Transformer,"Ting-Rui Chiang, Chao-Wei Huang, Shang-Yu Su, Yun-Nung Chen","With the increasing research interest in dialogue response generation, there
is an emerging branch formulating this task as selecting next sentences, where
given the partial dialogue contexts, the goal is to determine the most probable
next sentence. Following the recent success of the Transformer model, this
paper proposes (1) a new variant of attention mechanism based on multi-head
attention, called highway attention, and (2) a recurrent model based on
transformer and the proposed highway attention, so-called Highway Recurrent
Transformer. Experiments on the response selection task in the seventh Dialog
System Technology Challenge (DSTC7) show the capability of the proposed model
of modeling both utterance-level and dialogue-level information; the
effectiveness of each module is further analyzed as well.",Computation and Language (cs.CL),,[Submitted on 21 Mar 2019]
Distributed State Estimation for AC Power Systems using Gauss-Newton ALADIN,"Xu Du, Alexander Engelmann, Yuning Jiang, Timm Faulwasser, Boris Houska","This paper proposes a structure exploiting algorithm for solving non-convex
power system state estimation problems in distributed fashion. Because the
power flow equations in large electrical grid networks are non-convex equality
constraints, we develop a tailored state estimator based on Augmented
Lagrangian Alternating Direction Inexact Newton (ALADIN) method, which can
handle the nonlinearities efficiently. Here, our focus is on using Gauss-Newton
Hessian approximations within ALADIN in order to arrive at at an efficient
(computationally and communicationally) variant of ALADIN for network maximum
likelihood estimation problems. Analyzing the IEEE 30-Bus system we illustrate
how the proposed algorithm can be used to solve highly non-trivial network
state estimation problems. We also compare the method with existing distributed
parameter estimation codes in order to illustrate its performance.",Systems and Control (eess.SY),; Optimization and Control (math.OC),[Submitted on 21 Mar 2019]
Short-Term Prediction and Multi-Camera Fusion on Semantic Grids,"Lukas Hoyer, Patrick Kesper, Anna Khoreva, Volker Fischer","An environment representation (ER) is a substantial part of every autonomous
system. It introduces a common interface between perception and other system
components, such as decision making, and allows downstream algorithms to deal
with abstracted data without knowledge of the used sensor. In this work, we
propose and evaluate a novel architecture that generates an egocentric,
grid-based, predictive, and semantically-interpretable ER. In particular, we
provide a proof of concept for the spatio-temporal fusion of multiple camera
sequences and short-term prediction in such an ER. Our design utilizes a strong
semantic segmentation network together with depth and egomotion estimates to
first extract semantic information from multiple camera streams and then
transform these separately into egocentric temporally-aligned bird's-eye view
grids. A deep encoder-decoder network is trained to fuse a stack of these grids
into a unified semantic grid representation and to predict the dynamics of its
surrounding. We evaluate this representation on real-world sequences of the
Cityscapes dataset and show that our architecture can make accurate predictions
in complex sensor fusion scenarios and significantly outperforms a model-driven
baseline in a category-based evaluation.",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO),"[Submitted on 21 Mar 2019 (v1), last revised 26 Jul 2019 (this version, v2)]"
An Energy-Efficient Resource Management System for a Mobile Ad Hoc Cloud,Sayed Chhattan Shah,"Recently, mobile ad hoc clouds have emerged as a promising technology for
mobile cyber-physical system applications, such as mobile intelligent video
surveillance and smart homes. Resource management plays a key role in
maximizing resource utilization and application performance in mobile ad hoc
clouds. Unlike resource management in traditional distributed computing
systems, such as clouds, resource management in a mobile ad hoc cloud poses
numerous challenges owing to the node mobility, limited battery power, high
latency, and the dynamic network environment. The real-time requirements
associated with mobile cyber-physical system applications make the problem even
more challenging. Currently, existing resource management systems for mobile ad
hoc clouds are not designed to support mobile cyber-physical system
applications and energy-efficient communication between application tasks. In
this paper, we propose a new energy-efficient resource management system for
mobile ad hoc clouds. The proposed system consists of two layers: a network
layer and a middleware layer. The network layer provides ad hoc network and
communication services to the middleware layer and shares the collected
information in order to allow efficient and robust resource management
decisions. It uses (1) a transmission power control mechanism to improve energy
efficiency and network capacity, (2) link lifetimes to reduce communication and
energy consumption costs, and (3) link quality to estimate data transfer times.
The middleware layer is responsible for the discovery, monitoring, migration,
and allocation of resources. It receives application tasks from users and
allocates tasks to nodes on the basis of network and node-level information.","Distributed, Parallel, and Cluster Computing (cs.DC)",,[Submitted on 21 Mar 2019]
Multi-Task Time Series Analysis applied to Drug Response Modelling,"Alex Bird, Christopher K. I. Williams, Christopher Hawthorne","Time series models such as dynamical systems are frequently fitted to a
cohort of data, ignoring variation between individual entities such as
patients. In this paper we show how these models can be personalised to an
individual level while retaining statistical power, via use of multi-task
learning (MTL). To our knowledge this is a novel development of MTL which
applies to time series both with and without control inputs. The modelling
framework is demonstrated on a physiological drug response problem which
results in improved predictive accuracy and uncertainty estimation over
existing state-of-the-art models.",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
HELPER: Heterogeneous Efficient Low Power Radio for Enabling Ad Hoc Emergency Public Safety Networks,"Jithin Jagannath, Sean Furman, Anu Jagannath, Luther Ling, Andrew Burger, Andrew Drozd","Natural and man-made disasters have been causing destruction and distress to
humanity all over the world. In these scenarios, communication infrastructures
are the most affected entities making emergency response operations extremely
challenging. This invokes a need to equip the affected people and the emergency
responders with the ability to rapidly set up and use independent means of
communication. Therefore, in this work, we present a complete end-to-end
solution that can connect survivors of a disaster with each other and the
authorities using a completely self-sufficient ad hoc network that can be setup
rapidly. Accordingly, we develop a Heterogeneous Efficient Low Power Radio
(HELPER) that acts as an access point for end-users to connect using custom
website application. These HELPERs then coordinate with each other to form a
LoRa based ad hoc network. To this end, we propose a novel cross-layer
optimized distributed energy-efficient routing (SEEK) algorithm that aims to
maximize the network lifetime. The HELPER is prototyped using WiFi enabled
Raspberry Pi and LoRa module that is configured to run using Li-ion batteries.
We implement the required cross-layer protocol stack along with the SEEK
routing algorithm. We have conducted demonstrations to establish the
feasibility of exchanging of text messages over the HELPER network, live map
updates, ability to send distress messages to authorities. Emergency responders
can leverage this technology to remotely monitor the connectivity of the
affected area and alert users of imminent dangers. SEEK algorithm was shown to
outperform a greedy geographical routing algorithm implemented on HELPER
testbed by up to 53 % in terms of network lifetime and up to 28 % in terms of
throughput. Overall, we hope this technology will become instrumental in
improving the efficiency and effectiveness of public safety activities.",Networking and Internet Architecture (cs.NI),,[Submitted on 21 Mar 2019]
SemEval-2019 Task 6: Identifying and Categorizing Offensive Language in Social Media (OffensEval),"Marcos Zampieri, Shervin Malmasi, Preslav Nakov, Sara Rosenthal, Noura Farra, Ritesh Kumar","We present the results and the main findings of SemEval-2019 Task 6 on
Identifying and Categorizing Offensive Language in Social Media (OffensEval).
The task was based on a new dataset, the Offensive Language Identification
Dataset (OLID), which contains over 14,000 English tweets. It featured three
sub-tasks. In sub-task A, the goal was to discriminate between offensive and
non-offensive posts. In sub-task B, the focus was on the type of offensive
content in the post. Finally, in sub-task C, systems had to detect the target
of the offensive posts. OffensEval attracted a large number of participants and
it was one of the most popular tasks in SemEval-2019. In total, about 800 teams
signed up to participate in the task, and 115 of them submitted results, which
we present and analyze in this report.",Computation and Language (cs.CL),,"[Submitted on 19 Mar 2019 (v1), last revised 27 Apr 2019 (this version, v3)]"
Multi-hop Byzantine Reliable Broadcast with Honest Dealer Made Practical,"Silvia Bonomi, Giovanni Farina (NPA), Sébastien Tixeuil (NPA, LINCS)","We revisit Byzantine tolerant reliable broadcast with honest dealer
algorithms in multi-hop networks. To tolerate Byzantine faulty nodes
arbitrarily spread over the network, previous solutions require a factorial
number of messages to be sent over the network if the messages are not
authenticated (e.g. digital signatures are not available). We propose
modifications that preserve the safety and liveness properties of the original
unauthenticated protocols, while highly decreasing their observed message
complexity when simulated on several classes of graph topologies, potentially
opening to their employment.","Distributed, Parallel, and Cluster Computing (cs.DC)",,"[Submitted on 21 Mar 2019 (v1), last revised 12 Sep 2019 (this version, v2)]"
Utilizing Mobile Nodes for Congestion Control in Wireless Sensor Networks,"Antonia Nicolaou, Natalie Temene, Charalampos Sergiou, Chryssis Georgiou, Vasos Vassiliou","Congestion control and avoidance in Wireless Sensor Networks (WSNs) is a
subject that has attracted a lot of research attention in the last decade.
Besides rate and resource control, the utilization of mobile nodes has also
been suggested as a way to control congestion. In this work, we present a
Mobile Congestion Control (MobileCC) algorithm with two variations, to assist
existing congestion control algorithms in facing congestion in WSNs. The first
variation employs mobile nodes that create locally-significant alternative
paths leading to the sink. The second variation employs mobile nodes that
create completely individual (disjoint) paths to the sink. Simulation results
show that both variations can significantly contribute to the alleviation of
congestion in WSNs.",Networking and Internet Architecture (cs.NI),,[Submitted on 21 Mar 2019]
A unified spectra analysis workflow for the assessment of microbial contamination of ready to eat green salads: Comparative study and application of non-invasive sensors,"Panagiotis Tsakanikas, Lemonia Christina Fengou, Evanthia Manthou, Alexandra Lianou, Efstathios Z. Panagou, George John E. Nychas","The present study provides a comparative assessment of non-invasive sensors
as means of estimating the microbial contamination and time-on-shelf (i.e.
storage time) of leafy green vegetables, using a novel unified spectra analysis
workflow. Two fresh ready-to-eat green salads were used in the context of this
study for the purpose of evaluating the efficiency and practical application of
the presented workflow: rocket and baby spinach salads. The employed analysis
workflow consisted of robust data normalization, powerful feature selection
based on random forests regression, and selection of the number of partial
least squares regression coefficients in the training process by estimating the
knee-point on the explained variance plot. Training processes were based on
microbiological and spectral data derived during storage of green salad samples
at isothermal conditions (4, 8 and 12C), whereas testing was performed on data
during storage under dynamic temperature conditions (simulating real-life
temperature fluctuations in the food supply chain). Since an increasing
interest in the use of non-invasive sensors in food quality assessment has been
made evident in recent years, the unified spectra analysis workflow described
herein, by being based on the creation/usage of limited sized featured sets,
could be very useful in food-specific low-cost sensor development.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 21 Mar 2019 (v1), last revised 26 Mar 2019 (this version, v2)]"
Cylindrical Algebraic Decomposition with Equational Constraints,"Matthew England, Russell Bradford, James H. Davenport","Cylindrical Algebraic Decomposition (CAD) has long been one of the most
important algorithms within Symbolic Computation, as a tool to perform
quantifier elimination in first order logic over the reals. More recently it is
finding prominence in the Satisfiability Checking community as a tool to
identify satisfying solutions of problems in nonlinear real arithmetic.
The original algorithm produces decompositions according to the signs of
polynomials, when what is usually required is a decomposition according to the
truth of a formula containing those polynomials. One approach to achieve that
coarser (but hopefully cheaper) decomposition is to reduce the polynomials
identified in the CAD to reflect a logical structure which reduces the solution
space dimension: the presence of Equational Constraints (ECs).
This paper may act as a tutorial for the use of CAD with ECs: we describe all
necessary background and the current state of the art. In particular, we
present recent work on how McCallum's theory of reduced projection may be
leveraged to make further savings in the lifting phase: both to the polynomials
we lift with and the cells lifted over. We give a new complexity analysis to
demonstrate that the double exponent in the worst case complexity bound for CAD
reduces in line with the number of ECs. We show that the reduction can apply to
both the number of polynomials produced and their degree.",Symbolic Computation (cs.SC),,[Submitted on 20 Mar 2019]
Towards a Forensic Event Ontology to Assist Video Surveillance-based Vandalism Detection,"Faranak Sobhani, Umberto Straccia","The detection and representation of events is a critical element in automated
surveillance systems. We present here an ontology for representing complex
semantic events to assist video surveillance-based vandalism detection. The
ontology contains the definition of a rich and articulated event vocabulary
that is aimed at aiding forensic analysis to objectively identify and represent
complex events. Our ontology has then been applied in the context of London
Riots, which took place in 2011. We report also on the experiments conducted to
support the classification of complex criminal events from video data.",Artificial Intelligence (cs.AI),; Image and Video Processing (eess.IV),[Submitted on 21 Mar 2019]
Localization of Unmanned Aerial Vehicles in Corridor Environments using Deep Learning,"Ram Prasad Padhy, Shahzad Ahmad, Sachin Verma, Pankaj Kumar Sa, Sambit Bakshi","Vision-based pose estimation of Unmanned Aerial Vehicles (UAV) in unknown
environments is a rapidly growing research area in the field of robot vision.
The task becomes more complex when the only available sensor is a static single
camera (monocular vision). In this regard, we propose a monocular vision
assisted localization algorithm, that will help a UAV to navigate safely in
indoor corridor environments. Always, the aim is to navigate the UAV through a
corridor in the forward direction by keeping it at the center with no
orientation either to the left or right side. The algorithm makes use of the
RGB image, captured from the UAV front camera, and passes it through a trained
deep neural network (DNN) to predict the position of the UAV as either on the
left or center or right side of the corridor. Depending upon the divergence of
the UAV with respect to the central bisector line (CBL) of the corridor, a
suitable command is generated to bring the UAV to the center. When the UAV is
at the center of the corridor, a new image is passed through another trained
DNN to predict the orientation of the UAV with respect to the CBL of the
corridor. If the UAV is either left or right tilted, an appropriate command is
generated to rectify the orientation. We also propose a new corridor dataset,
named NITRCorrV1, which contains images as captured by the UAV front camera
when the UAV is at all possible locations of a variety of corridors. An
exhaustive set of experiments in different corridors reveal the efficacy of the
proposed algorithm.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 21 Mar 2019]
Subgraph Networks with Application to Structural Feature Space Expansion,"Qi Xuan, Jinhuan Wang, Minghao Zhao, Junkun Yuan, Chenbo Fu, Zhongyuan Ruan, Guanrong Chen","Real-world networks exhibit prominent hierarchical and modular structures,
with various subgraphs as building blocks. Most existing studies simply
consider distinct subgraphs as motifs and use only their numbers to
characterize the underlying network. Although such statistics can be used to
describe a network model, or even to design some network algorithms, the role
of subgraphs in such applications can be further explored so as to improve the
results. In this paper, the concept of subgraph network (SGN) is introduced and
then applied to network models, with algorithms designed for constructing the
1st-order and 2nd-order SGNs, which can be easily extended to build
higher-order ones. Furthermore, these SGNs are used to expand the structural
feature space of the underlying network, beneficial for network classification.
Numerical experiments demonstrate that the network classification model based
on the structural features of the original network together with the 1st-order
and 2nd-order SGNs always performs the best as compared to the models based
only on one or two of such networks. In other words, the structural features of
SGNs can complement that of the original network for better network
classification, regardless of the feature extraction method used, such as the
handcrafted, network embedding and kernel-based methods.",Social and Information Networks (cs.SI),; Machine Learning (cs.LG),"[Submitted on 21 Mar 2019 (v1), last revised 15 Dec 2019 (this version, v3)]"
Recent advances in conversational NLP : Towards the standardization of Chatbot building,Maali Mnasri,"Dialogue systems have become recently essential in our life. Their use is
getting more and more fluid and easy throughout the time. This boils down to
the improvements made in NLP and AI fields. In this paper, we try to provide an
overview to the current state of the art of dialogue systems, their categories
and the different approaches to build them. We end up with a discussion that
compares all the techniques and analyzes the strengths and weaknesses of each.
Finally, we present an opinion piece suggesting to orientate the research
towards the standardization of dialogue systems building.",Computation and Language (cs.CL),; Artificial Intelligence (cs.AI),[Submitted on 21 Mar 2019]
Bandwidth Extension on Raw Audio via Generative Adversarial Networks,"Sung Kim, Visvesh Sathe","Neural network-based methods have recently demonstrated state-of-the-art
results on image synthesis and super-resolution tasks, in particular by using
variants of generative adversarial networks (GANs) with supervised feature
losses. Nevertheless, previous feature loss formulations rely on the
availability of large auxiliary classifier networks, and labeled datasets that
enable such classifiers to be trained. Furthermore, there has been
comparatively little work to explore the applicability of GAN-based methods to
domains other than images and video. In this work we explore a GAN-based method
for audio processing, and develop a convolutional neural network architecture
to perform audio super-resolution. In addition to several new architectural
building blocks for audio processing, a key component of our approach is the
use of an autoencoder-based loss that enables training in the GAN framework,
with feature losses derived from unlabeled data. We explore the impact of our
architectural choices, and demonstrate significant improvements over previous
works in terms of both objective and perceptual quality.",Sound (cs.SD),; Audio and Speech Processing (eess.AS),[Submitted on 21 Mar 2019]
Generative Models For Deep Learning with Very Scarce Data,"Juan Maroñas, Roberto Paredes, Daniel Ramos","The goal of this paper is to deal with a data scarcity scenario where deep
learning techniques use to fail. We compare the use of two well established
techniques, Restricted Boltzmann Machines and Variational Auto-encoders, as
generative models in order to increase the training set in a classification
framework. Essentially, we rely on Markov Chain Monte Carlo (MCMC) algorithms
for generating new samples. We show that generalization can be improved
comparing this methodology to other state-of-the-art techniques, e.g.
semi-supervised learning with ladder networks. Furthermore, we show that RBM is
better than VAE generating new samples for training a classifier with good
generalization capabilities.",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
Equivariant Entity-Relationship Networks,"Devon Graham, Junhao Wang, Siamak Ravanbakhsh","The relational model is a ubiquitous representation of big-data, in part due
to its extensive use in databases. In this paper, we propose the Equivariant
Entity-Relationship Network (EERN), which is a Multilayer Perceptron
equivariant to the symmetry transformations of the Entity-Relationship model.
To this end, we identify the most expressive family of linear maps that are
exactly equivariant to entity relationship symmetries, and further show that
they subsume recently introduced equivariant maps for sets, exchangeable
tensors, and graphs. The proposed feed-forward layer has linear complexity in
the data and can be used for both inductive and transductive reasoning about
relational databases, including database embedding, and the prediction of
missing records. This provides a principled theoretical foundation for the
application of deep learning to one of the most abundant forms of data.
Empirically, EERN outperforms different variants of coupled matrix tensor
factorization in both synthetic and real-data experiments.",Machine Learning (cs.LG),; Machine Learning (stat.ML),"[Submitted on 21 Mar 2019 (v1), last revised 5 Jun 2020 (this version, v4)]"
