title,author,abstractstract,main_subject,other_subjects,submission_date
Universally Slimmable Networks and Improved Training Techniques,"Jiahui Yu, Thomas Huang","Slimmable networks are a family of neural networks that can instantly adjust
the runtime width. The width can be chosen from a predefined widths set to
adaptively optimize accuracy-efficiency trade-offs at runtime. In this work, we
propose a systematic approach to train universally slimmable networks
(US-Nets), extending slimmable networks to execute at arbitrary width, and
generalizing to networks both with and without batch normalization layers. We
further propose two improved training techniques for US-Nets, named the
sandwich rule and inplace distillation, to enhance training process and boost
testing accuracy. We show improved performance of universally slimmable
MobileNet v1 and MobileNet v2 on ImageNet classification task, compared with
individually trained ones and 4-switch slimmable network baselines. We also
evaluate the proposed US-Nets and improved training techniques on tasks of
image super-resolution and deep reinforcement learning. Extensive ablation
experiments on these representative tasks demonstrate the effectiveness of our
proposed methods. Our discovery opens up the possibility to directly evaluate
FLOPs-Accuracy spectrum of network architectures. Code and models are available
at: this https URL",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI),"[Submitted on 12 Mar 2019 (v1), last revised 20 Oct 2019 (this version, v2)]"
"Unsupervised Discovery of Parts, Structure, and Dynamics","Zhenjia Xu, Zhijian Liu, Chen Sun, Kevin Murphy, William T. Freeman, Joshua B. Tenenbaum, Jiajun Wu","Humans easily recognize object parts and their hierarchical structure by
watching how they move; they can then predict how each part moves in the
future. In this paper, we propose a novel formulation that simultaneously
learns a hierarchical, disentangled object representation and a dynamics model
for object parts from unlabeled videos. Our Parts, Structure, and Dynamics
(PSD) model learns to, first, recognize the object parts via a layered image
representation; second, predict hierarchy via a structural descriptor that
composes low-level concepts into a hierarchical structure; and third, model the
system dynamics by predicting the future. Experiments on multiple real and
synthetic datasets demonstrate that our PSD model works well on all three
tasks: segmenting object parts, building their hierarchical structure, and
capturing their motion distributions.",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG),[Submitted on 12 Mar 2019]
STRATA: A Unified Framework for Task Assignments in Large Teams of Heterogeneous Agents,"Harish Ravichandar, Kenneth Shaw, Sonia Chernova","Large teams of heterogeneous agents have the potential to solve complex
multi-task problems that are intractable for a single agent working
independently. However, solving complex multi-task problems requires leveraging
the relative strengths of the different kinds of agents in the team. We present
Stochastic TRAit-based Task Assignment (STRATA), a unified framework that
models large teams of heterogeneous agents and performs effective task
assignments. Specifically, given information on which traits (capabilities) are
required for various tasks, STRATA computes the assignments of agents to tasks
such that the trait requirements are achieved. Inspired by prior work in robot
swarms and biodiversity, we categorize agents into different species (groups)
based on their traits. We model each trait as a continuous variable and
differentiate between traits that can and cannot be aggregated from different
agents. STRATA is capable of reasoning about both species-level and agent-level
variability in traits. Further, we define measures of diversity for any given
team based on the team's continuous-space trait model. We illustrate the
necessity and effectiveness of STRATA using detailed experiments based in
simulation and in a capture-the-flag game environment.",Robotics (cs.RO),; Multiagent Systems (cs.MA),"[Submitted on 12 Mar 2019 (v1), last revised 6 Feb 2020 (this version, v3)]"
Evaluating the Contextual Integrity of Privacy Regulation: Parents' IoT Toy Privacy Norms Versus COPPA,"Noah Apthorpe, Sarah Varghese, Nick Feamster","Increased concern about data privacy has prompted new and updated data
protection regulations worldwide. However, there has been no rigorous way to
test whether the practices mandated by these regulations actually align with
the privacy norms of affected populations. Here, we demonstrate that surveys
based on the theory of contextual integrity provide a quantifiable and scalable
method for measuring the conformity of specific regulatory provisions to
privacy norms. We apply this method to the U.S. Children's Online Privacy
Protection Act (COPPA), surveying 195 parents and providing the first data that
COPPA's mandates generally align with parents' privacy expectations for
Internet-connected ""smart"" children's toys. Nevertheless, variations in the
acceptability of data collection across specific smart toys, information types,
parent ages, and other conditions emphasize the importance of detailed
contextual factors to privacy norms, which may not be adequately captured by
COPPA.",Computers and Society (cs.CY),,[Submitted on 12 Mar 2019]
A Sequential Set Generation Method for Predicting Set-Valued Outputs,"Tian Gao, Jie Chen, Vijil Chenthamarakshan, Michael Witbrock","Consider a general machine learning setting where the output is a set of
labels or sequences. This output set is unordered and its size varies with the
input. Whereas multi-label classification methods seem a natural first resort,
they are not readily applicable to set-valued outputs because of the growth
rate of the output space; and because conventional sequence generation doesn't
reflect sets' order-free nature. In this paper, we propose a unified
framework--sequential set generation (SSG)--that can handle output sets of
labels and sequences. SSG is a meta-algorithm that leverages any probabilistic
learning method for label or sequence prediction, but employs a proper
regularization such that a new label or sequence is generated repeatedly until
the full set is produced. Though SSG is sequential in nature, it does not
penalize the ordering of the appearance of the set elements and can be applied
to a variety of set output problems, such as a set of classification labels or
sequences. We perform experiments with both benchmark and synthetic data sets
and demonstrate SSG's strong performance over baseline methods.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),[Submitted on 12 Mar 2019]
"SoK - Security and Privacy in the Age of Drones: Threats, Challenges, Solution Mechanisms, and Scientific Gaps","Ben Nassi, Asaf Shabtai, Ryusuke Masuoka, Yuval Elovici","The evolution of drone technology in the past nine years since the first
commercial drone was introduced at CES 2010 has caused many individuals and
businesses to adopt drones for various purposes. We are currently living in an
era in which drones are being used for pizza delivery, the shipment of goods,
and filming, and they are likely to provide an alternative for transportation
in the near future. However, drones also pose a significant challenge in terms
of security and privacy within society (for both individuals and
organizations), and many drone related incidents are reported on a daily basis.
These incidents have called attention to the need to detect and disable drones
used for malicious purposes and opened up a new area of research and
development for academia and industry, with a market that is expected to reach
$1.85 billion by 2024. While some of the knowledge used to detect UAVs has been
adopted for drone detection, new methods have been suggested by industry and
academia alike to deal with the challenges associated with detecting the very
small and fast flying objects. In this paper, we describe new societal threats
to security and privacy created by drones, and present academic and industrial
methods used to detect and disable drones. We review methods targeted at areas
that restrict drone flights and analyze their effectiveness with regard to
various factors (e.g., weather, birds, ambient light, etc.). We present the
challenges arising in areas that allow drone flights, introduce the methods
that exist for dealing with these challenges, and discuss the scientific gaps
that exist in this area. Finally, we review methods used to disable drones,
analyze their effectiveness, and present their expected results. Finally, we
suggest future research directions.",Cryptography and Security (cs.CR),; Computers and Society (cs.CY),[Submitted on 12 Mar 2019]
A Path Planning Framework for a Flying Robot in Close Proximity of Humans,"Hyung-Jin Yoon, Christopher Widdowson, Thiago Marinho, Ranxiao Frances Wang, Naira Hovakimyan","We present a path planning framework that takes into account the human's
safety perception in the presence of a flying robot. The framework addresses
two objectives: (i) estimation of the uncertain parameters of the proposed
safety perception model based on test data collected using Virtual Reality (VR)
testbed, and (ii) offline optimal control computation using the estimated
safety perception model. Due to the unknown factors in the human tests data, it
is not suitable to use standard regression techniques that minimize the mean
squared error (MSE). We propose to use a Hidden Markov model (HMM) approach
where human's attention is considered as a hidden state to infer whether the
data samples are relevant to learn the safety perception model. The HMM
approach improved log-likelihood over the standard least squares solution. For
path planning, we use Bernstein polynomials for discretization, as the
resulting path remains within the convex hull of the control points, providing
guarantees for deconfliction with obstacles at low computational cost. An
example of optimal trajectory generation using the learned human model is
presented. The optimal trajectory generated using the proposed model results in
reasonable safety distance from the human. In contrast, the paths generated
using the standard regression model have undesirable shapes due to overfitting.
The example demonstrates that the HMM approach has robustness to the unknown
factors compared to the standard MSE model.",Robotics (cs.RO),,[Submitted on 12 Mar 2019]
Simple Physical Adversarial Examples against End-to-End Autonomous Driving Models,"Adith Boloor, Xin He, Christopher Gill, Yevgeniy Vorobeychik, Xuan Zhang","Recent advances in machine learning, especially techniques such as deep
neural networks, are promoting a range of high-stakes applications, including
autonomous driving, which often relies on deep learning for perception. While
deep learning for perception has been shown to be vulnerable to a host of
subtle adversarial manipulations of images, end-to-end demonstrations of
successful attacks, which manipulate the physical environment and result in
physical consequences, are scarce. Moreover, attacks typically involve
carefully constructed adversarial examples at the level of pixels. We
demonstrate the first end-to-end attacks on autonomous driving in simulation,
using simple physically realizable attacks: the painting of black lines on the
road. These attacks target deep neural network models for end-to-end autonomous
driving control. A systematic investigation shows that such attacks are
surprisingly easy to engineer, and we describe scenarios (e.g., right turns) in
which they are highly effective, and others that are less vulnerable (e.g.,
driving straight). Further, we use network deconvolution to demonstrate that
the attacks succeed by inducing activation patterns similar to entirely
different scenarios used in training.",Robotics (cs.RO),; Machine Learning (cs.LG); Machine Learning (stat.ML),[Submitted on 12 Mar 2019]
An extended polygonal finite element method for large deformation fracture analysis,"Hai D. Huynh, Phuong Tran, Xiaoying Zhuang, H. Nguyen-Xuan","The modeling of large deformation fracture mechanics has been a challenging
problem regarding the accuracy of numerical methods and their ability to deal
with considerable changes in deformations of meshes where having the presence
of cracks. This paper further investigates the extended finite element method
(XFEM) for the simulation of large strain fracture for hyper-elastic materials,
in particular rubber ones. A crucial idea is to use a polygonal mesh to
represent space of the present numerical technique in advance, and then a local
refinement of structured meshes at the vicinity of the discontinuities is
additionally established. Due to differences in the size and type of elements
at the boundaries of those two regions, hanging nodes produced in the modified
mesh are considered as normal nodes in an arbitrarily polygonal element.
Conforming these special elements becomes straightforward by the flexible use
of basis functions over polygonal elements. Results of this study are shown
through several numerical examples to prove its efficiency and accuracy through
comparison with former achievements.",Numerical Analysis (math.NA),"; Computational Engineering, Finance, and Science (cs.CE)","[Submitted on 9 Mar 2019 (v1), last revised 20 Mar 2019 (this version, v2)]"
Scaling Multi-Domain Dialogue State Tracking via Query Reformulation,"Pushpendre Rastogi, Arpit Gupta, Tongfei Chen, Lambert Mathias","We present a novel approach to dialogue state tracking and referring
expression resolution tasks. Successful contextual understanding of multi-turn
spoken dialogues requires resolving referring expressions across turns and
tracking the entities relevant to the conversation across turns. Tracking
conversational state is particularly challenging in a multi-domain scenario
when there exist multiple spoken language understanding (SLU) sub-systems, and
each SLU sub-system operates on its domain-specific meaning representation.
While previous approaches have addressed the disparate schema issue by learning
candidate transformations of the meaning representation, in this paper, we
instead model the reference resolution as a dialogue context-aware user query
reformulation task -- the dialog state is serialized to a sequence of natural
language tokens representing the conversation. We develop our model for query
reformulation using a pointer-generator network and a novel multi-task learning
setup. In our experiments, we show a significant improvement in absolute F1 on
an internal as well as a, soon to be released, public benchmark respectively.",Computation and Language (cs.CL),,"[Submitted on 12 Mar 2019 (v1), last revised 29 Mar 2019 (this version, v3)]"
Search-based 3D Planning and Trajectory Optimization for Safe Micro Aerial Vehicle Flight Under Sensor Visibility Constraints,"Matthias Nieuwenhuisen, Sven Behnke","Safe navigation of Micro Aerial Vehicles (MAVs) requires not only
obstacle-free flight paths according to a static environment map, but also the
perception of and reaction to previously unknown and dynamic objects. This
implies that the onboard sensors cover the current flight direction. Due to the
limited payload of MAVs, full sensor coverage of the environment has to be
traded off with flight time. Thus, often only a part of the environment is
covered.
We present a combined allocentric complete planning and trajectory
optimization approach taking these sensor visibility constraints into account.
The optimized trajectories yield flight paths within the apex angle of a
Velodyne Puck Lite 3D laser scanner enabling low-level collision avoidance to
perceive obstacles in the flight direction. Furthermore, the optimized
trajectories take the flight dynamics into account and contain the velocities
and accelerations along the path.
We evaluate our approach with a DJI Matrice 600 MAV and in simulation
employing hardware-in-the-loop.",Robotics (cs.RO),,"[Submitted on 12 Mar 2019 (v1), last revised 28 Aug 2019 (this version, v2)]"
On the Pitfalls of Measuring Emergent Communication,"Ryan Lowe, Jakob Foerster, Y-Lan Boureau, Joelle Pineau, Yann Dauphin","How do we know if communication is emerging in a multi-agent system? The vast
majority of recent papers on emergent communication show that adding a
communication channel leads to an increase in reward or task success. This is a
useful indicator, but provides only a coarse measure of the agent's learned
communication abilities. As we move towards more complex environments, it
becomes imperative to have a set of finer tools that allow qualitative and
quantitative insights into the emergence of communication. This may be
especially useful to allow humans to monitor agents' behaviour, whether for
fault detection, assessing performance, or even building trust. In this paper,
we examine a few intuitive existing metrics for measuring communication, and
show that they can be misleading. Specifically, by training deep reinforcement
learning agents to play simple matrix games augmented with a communication
channel, we find a scenario where agents appear to communicate (their messages
provide information about their subsequent action), and yet the messages do not
impact the environment or other agent in any way. We explain this phenomenon
using ablation studies and by visualizing the representations of the learned
policies. We also survey some commonly used metrics for measuring emergent
communication, and provide recommendations as to when these metrics should be
used.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (stat.ML),[Submitted on 12 Mar 2019]
BenchPress: Analyzing Android App Vulnerability Benchmark Suites,"Joydeep Mitra, Venkatesh-Prasad Ranganath, Aditya Narkar","In recent years, various benchmark suites have been developed to evaluate the
efficacy of Android security analysis tools. The choice of such benchmark
suites used in tool evaluations is often based on the availability and
popularity of suites and not on their characteristics and relevance. One of the
reasons for such choices is the lack of information about the characteristics
and relevance of benchmarks suites.
In this context, we empirically evaluated four Android specific benchmark
suites: DroidBench, Ghera, IccBench, and UBCBench. For each benchmark suite, we
identified the APIs used by the suite that were discussed on Stack Overflow in
the context of Android app development and measured the usage of these APIs in
a sample of 227K real world apps (coverage). We also compared each pair of
benchmark suites to identify the differences between them in terms of API
usage. Finally, we identified security-related APIs used in real-world apps but
not in any of the above benchmark suites to assess the opportunities to extend
benchmark suites (gaps).
The findings in this paper can help 1) Android security analysis tool
developers choose benchmark suites that are best suited to evaluate their tools
(informed by coverage and pairwise comparison) and 2) Android app vulnerability
benchmark creators develop and extend benchmark suites (informed by gaps).",Software Engineering (cs.SE),; Cryptography and Security (cs.CR),"[Submitted on 12 Mar 2019 (v1), last revised 19 Sep 2019 (this version, v4)]"
Richness of Deep Echo State Network Dynamics,"Claudio Gallicchio, Alessio Micheli","Reservoir Computing (RC) is a popular methodology for the efficient design of
Recurrent Neural Networks (RNNs). Recently, the advantages of the RC approach
have been extended to the context of multi-layered RNNs, with the introduction
of the Deep Echo State Network (DeepESN) model. In this paper, we study the
quality of state dynamics in progressively higher layers of DeepESNs, using
tools from the areas of information theory and numerical analysis. Our
experimental results on RC benchmark datasets reveal the fundamental role
played by the strength of inter-reservoir connections to increasingly enrich
the representations developed in higher layers. Our analysis also gives
interesting insights into the possibility of effective exploitation of training
algorithms based on stochastic gradient descent in the RC field.",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Neural and Evolutionary Computing (cs.NE); Machine Learning (stat.ML),"[Submitted on 12 Mar 2019 (v1), last revised 24 Sep 2019 (this version, v2)]"
Exploiting Reuse in Pipeline-Aware Hyperparameter Tuning,"Liam Li, Evan Sparks, Kevin Jamieson, Ameet Talwalkar","Hyperparameter tuning of multi-stage pipelines introduces a significant
computational burden. Motivated by the observation that work can be reused
across pipelines if the intermediate computations are the same, we propose a
pipeline-aware approach to hyperparameter tuning. Our approach optimizes both
the design and execution of pipelines to maximize reuse. We design pipelines
amenable for reuse by (i) introducing a novel hybrid hyperparameter tuning
method called gridded random search, and (ii) reducing the average training
time in pipelines by adapting early-stopping hyperparameter tuning approaches.
We then realize the potential for reuse during execution by introducing a novel
caching problem for ML workloads which we pose as a mixed integer linear
program (ILP), and subsequently evaluating various caching heuristics relative
to the optimal solution of the ILP. We conduct experiments on simulated and
real-world machine learning pipelines to show that a pipeline-aware approach to
hyperparameter tuning can offer over an order-of-magnitude speedup over
independently evaluating pipeline configurations.",Machine Learning (cs.LG),; Machine Learning (stat.ML),[Submitted on 12 Mar 2019]
Topological Analysis of Syntactic Structures,"Alexander Port, Taelin Karidi, Matilde Marcolli","We use the persistent homology method of topological data analysis and
dimensional analysis techniques to study data of syntactic structures of world
languages. We analyze relations between syntactic parameters in terms of
dimensionality, of hierarchical clustering structures, and of non-trivial
loops. We show there are relations that hold across language families and
additional relations that are family-specific. We then analyze the trees
describing the merging structure of persistent connected components for
languages in different language families and we show that they partly correlate
to historical phylogenetic trees but with significant differences. We also show
the existence of interesting non-trivial persistent first homology groups in
various language families. We give examples where explicit generators for the
persistent first homology can be identified, some of which appear to correspond
to homoplasy phenomena, while others may have an explanation in terms of
historical linguistics, corresponding to known cases of syntactic borrowing
across different language subfamilies.",Computation and Language (cs.CL),; Algebraic Topology (math.AT),[Submitted on 12 Mar 2019]
Krasovskii's Passivity,"Krishna Chaitanya Kosaraju, Yu Kawano, Jacquelien M.A. Scherpen","In this paper we introduce a new notion of passivity which we call
Krasovskii's passivity and provide a sufficient condition for a system to be
Krasovskii's passive. Based on this condition, we investigate classes of
port-Hamiltonian and gradient systems which are Krasovskii's passive. Moreover,
we provide a new interconnection based control technique based on Krasovskii's
passivity. Our proposed control technique can be used even in the case when it
is not clear how to construct the standard passivity based controller, which is
demonstrated by examples of a Boost converter and a parallel RLC circuit.",Systems and Control (eess.SY),,"[Submitted on 12 Mar 2019 (v1), last revised 22 Jun 2019 (this version, v2)]"
Arithmetic-Geometric Mean Robustness for Control from Signal Temporal Logic Specifications,"Noushin Mehdipour, Cristian-Ioan Vasile, Calin Belta","We present a new average-based robustness score for Signal Temporal Logic
(STL) and a framework for optimal control of a dynamical system under STL
constraints. By averaging the scores of different specifications or subformulae
at different time points, our new definition highlights the frequency of
satisfaction, as well as how robustly each specification is satisfied at each
time point. We show that this definition provides a better score for how well a
specification is satisfied. Its usefulness in monitoring and control synthesis
problems is illustrated through case studies.",Robotics (cs.RO),,[Submitted on 12 Mar 2019]
A Review of Reinforcement Learning for Autonomous Building Energy Management,"Karl Mason, Santiago Grijalva","The area of building energy management has received a significant amount of
interest in recent years. This area is concerned with combining advancements in
sensor technologies, communications and advanced control algorithms to optimize
energy utilization. Reinforcement learning is one of the most prominent machine
learning algorithms used for control problems and has had many successful
applications in the area of building energy management. This research gives a
comprehensive review of the literature relating to the application of
reinforcement learning to developing autonomous building energy management
systems. The main direction for future research and challenges in reinforcement
learning are also outlined.",Machine Learning (cs.LG),; Systems and Control (eess.SY); Machine Learning (stat.ML),"[Submitted on 12 Mar 2019 (v1), last revised 15 Mar 2019 (this version, v2)]"
Teaching Programming Concepts by Developing Games,"Kailash Chandra, Shyamal Suhana Chandra","Learning to program could possibly be analogous to acquiring expertise in
abstract mathematics, which may be boring or dull for a majority of students.
Thus, among the countless options to approach learning coding [1-14], acquiring
concepts through game creation could possibly be the most enriching experience
for students. Consequently, it is important to select a lucid and familiar game
for students. Then, the following step is to choose a language that introduces
the basic concepts of object-oriented programming really well. For this paper,
we chose the game of Tic-Tac-Toe, which is straight-forward for most people.
The programming language chosen here is C++.",Computers and Society (cs.CY),,[Submitted on 12 Mar 2019]
